census_id,kernel_spill_100,kernel_spill_300,kernel_spill_500,airbnb_listings,geometry,Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros,other_owners,individual_owners,legal_entity_owners,hoa_owners,total_owners,pct_legal_entity,edu_level_1,edu_level_2,edu_level_3,edu_level_4,edu_level_5,edu_level_6,total_population,pct_edu_1,pct_edu_2,pct_edu_3,pct_edu_4,pct_edu_5,pct_edu_6,population,airbnb_per_1000,year,post
02097,97.67929970125739,477.80142858370033,1053.2737840705925,22,"c(429351.733685657, 429352.753819012, 429358.563289219, 429370.309952284, 429371.670501901, 429382.258649294, 429382.877071405, 429385.502744052, 429386.253413086, 429425.033664847, 429425.527778313, 429426.825029026, 429427.160234936, 429429.246897762, 429429.470436862, 429440.062459778, 429449.519265351, 429458.302011787, 429469.986035685, 429473.860139466, 429482.253530747, 429490.737717706, 4581863.7684979, 4581882.63348739, 4581878.13568318, 4581882.24026998, 4581850.25064698, 4581821.27989871, 
4581867.57297345, 4581896.74801761, 4581809.94598427, 4581798.45303703, 4581885.25514277, 4581760.89002396, 4581795.30574746, 4581751.98411645, 4581860.79035825, 4581746.32733695, 4581772.88220881, 4581816.09800339, 4581813.7636809, 4581760.08787067, 4581871.37935192, 4581798.01765511)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,23317.72,0,647,128,0,775,0.16516129032258065,8,81,148,277,498,0,1012,0.007905138339920948,0.0800395256916996,0.14624505928853754,0.2737154150197628,0.49209486166007904,0,1120,21.73913043478261,2024,1
02098,104.77579278536858,514.3964592420788,1128.0272222853164,21,"c(429412.648672301, 429416.164123812, 429421.434499286, 429442.23560894, 429443.09330283, 429446.58171527, 429466.096353038, 429474.323572603, 429475.988737365, 429480.96496827, 429494.220702064, 429494.987777057, 429509.142775231, 429513.781483945, 429515.796972535, 429542.175263658, 429553.090734772, 429580.904048679, 429590.86707198, 429598.132895391, 429608.403213897, 4582194.04135057, 4582212.82097638, 4582151.76470873, 4582227.06186042, 4582229.27408862, 4582158.18151591, 4582101.36668897, 
4582173.45547511, 4582226.46674133, 4582254.44203617, 4582070.00481139, 4582148.82795826, 4582228.63112902, 4582180.35831155, 4582053.14052123, 4582186.11876759, 4582018.22336032, 4582041.40452076, 4582120.13827713, 4582093.42071022, 4582117.74729624)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,24627.24,0,880,199,1,1080,0.18425925925925926,7,96,198,337,764,0,1402,0.004992867332382311,0.06847360912981455,0.14122681883024252,0.24037089871611983,0.5449358059914408,0,1517,14.978601997146933,2024,1
02099,94.88442132595429,478.51795965964817,1065.7974265529904,21,"c(429307.522033505, 429324.460249558, 429335.007254205, 429339.628762254, 429339.838972497, 429341.602524872, 429356.958938061, 429380.263899953, 429403.152059927, 429404.838204921, 429409.131862891, 429414.327295242, 429418.50776086, 429431.816908406, 429432.125545763, 429436.746911009, 429450.812706608, 429457.171450087, 429460.950141341, 429467.286065967, 429481.430857252, 4582131.77979062, 4582153.82035494, 4582067.67659504, 4582165.88559887, 4582166.00568066, 4582162.86079119, 4582010.10157688, 
4582045.57799753, 4582077.55336412, 4581993.15485784, 4582073.38702369, 4582023.04024668, 4582022.99952008, 4582101.70049779, 4581979.74430472, 4582092.77015622, 4581991.59675511, 4581997.78466476, 4582088.09330703, 4581965.89969435, 4582044.59261146)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,26706.29,0,708,132,0,840,0.15714285714285714,6,96,198,336,752,0,1388,0.004322766570605188,0.069164265129683,0.14265129682997119,0.2420749279538905,0.5417867435158501,0,1566,15.129682997118156,2024,1
02100,78.18689181639111,424.9532339387154,978.0161028580269,23,"c(429240.584069348, 429248.955640167, 429267.120708995, 429269.93402949, 429294.336173085, 429294.794526743, 429294.87619086, 429298.079763647, 429301.337514376, 429309.185368206, 429310.871817668, 429318.254548699, 429318.819896386, 429319.203934087, 429325.724049134, 429336.778725705, 429337.02775969, 429337.229356655, 429354.769833539, 429356.5359905, 429361.350358138, 429390.570666664, 429411.072698999, 4581995.59319997, 4581956.92550564, 4582018.92443446, 4581964.49271711, 4581962.91553006, 
4581951.03538761, 4581949.81549148, 4581935.35045076, 4581926.43633659, 4582045.16087062, 4581906.08605816, 4581946.2565157, 4581918.49373576, 4581975.00378165, 4581980.30288216, 4581959.39931484, 4581984.93356981, 4582005.84392784, 4582003.63549363, 4581907.29946141, 4581992.46842714, 4581936.54805722, 4581946.46191956)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,26367.07,1,1337,185,0,1523,0.12147078135259357,0,99,210,325,624,0,1258,0,0.07869634340222575,0.1669316375198728,0.25834658187599363,0.4960254372019078,0,1376,18.282988871224166,2024,1
02101,96.09978744375044,468.6619233869202,1046.4088054275555,18,"c(429134.157030496, 429141.532867814, 429160.567457856, 429180.242913175, 429207.832710824, 429245.305112661, 429247.182029979, 429266.499882936, 429301.340710957, 429336.934158741, 429337.727389873, 429343.35642239, 429357.489478185, 429378.759255518, 429383.992936319, 429386.946635925, 429401.636034228, 429410.789482394, 4582067.35228068, 4582087.87937714, 4582067.70799395, 4582027.54515691, 4582128.57849826, 4582096.8578212, 4582203.4274488, 4582126.6287242, 4582269.51620712, 4582232.52934043, 
4582194.7639366, 4582254.02855457, 4582196.79956771, 4582234.34209204, 4582261.08683744, 4582226.82555797, 4582265.20727044, 4582260.67691327)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,24508.18,2,1281,253,1,1537,0.1646063760572544,24,216,310,492,959,0,2001,0.01199400299850075,0.10794602698650675,0.1549225387306347,0.24587706146926536,0.47926036981509246,0,2236,8.995502248875562,2024,1
02084,95.93569744352754,504.711622602738,1111.4054517760296,47,"c(429277.739199589, 429288.937543572, 429303.699088371, 429327.356694444, 429331.56047646, 429360.6913967, 429365.529452285, 429391.115732376, 429393.079963409, 429400.017048435, 429402.530195248, 429406.161342453, 429409.772057525, 429410.203815716, 429412.212157324, 429414.099657775, 429416.606727798, 429419.624224138, 429421.804665215, 429428.759498727, 429460.993548012, 429461.326212898, 429466.402315648, 429468.041281429, 429469.65530183, 429484.667859917, 429491.420798779, 429495.035173087, 
429495.518391182, 429501.977958428, 429508.32882137, 429514.425238056, 429517.626514771, 429517.628048612, 429532.709380308, 429533.403053746, 429535.066116149, 429537.643496575, 429538.647647616, 429548.803300573, 429555.83077866, 429569.053792379, 429578.053016571, 429609.562685495, 429610.172155531, 429624.826735879, 429643.024990687, 4582678.33391013, 4582678.29009341, 4582682.52167078, 4582707.82753205, 4582624.51463016, 4582610.90699659, 4582764.08008395, 4582558.42667316, 4582588.3853974, 
4582613.85448891, 4582785.92520436, 4582643.77247928, 4582697.69746352, 4582543.80685382, 4582558.5652618, 4582600.39375302, 4582680.06604895, 4582652.5236221, 4582704.68608061, 4582610.1325127, 4582667.88679121, 4582715.42512151, 4582509.71199397, 4582816.3751696, 4582526.17369583, 4582720.72821844, 4582727.32423119, 4582716.6335835, 4582632.90958469, 4582695.69364295, 4582660.54219141, 4582771.51199897, 4582584.95192031, 4582747.47189259, 4582760.23118749, 4582573.69552353, 4582610.25566327, 4582665.80843367, 
4582769.10571412, 4582755.85553141, 4582644.53601184, 4582738.20593417, 4582694.28303507, 4582667.32978814, 4582644.00775711, 4582689.38729415, 4582669.22527892)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,26707.27,1,1010,286,0,1297,0.220508866615266,5,110,221,474,1111,0,1921,0.0026028110359187923,0.05726184279021343,0.11504424778761062,0.2467464862051015,0.5783446121811556,0,2116,24.466423737636646,2024,1
02085,76.35241774924691,434.77611569924915,983.004414977331,26,"c(429118.147742852, 429170.077261422, 429202.734931215, 429212.538894579, 429231.6056154, 429242.233950859, 429252.559982359, 429264.261729239, 429267.453905924, 429278.441027054, 429282.69684932, 429295.445683893, 429295.456520591, 429302.207940905, 429303.032709524, 429305.616934798, 429310.601769099, 429321.303996687, 429336.659079076, 429343.11513937, 429343.704476362, 429354.267035758, 429364.853452842, 429374.287556925, 429400.354836147, 4582859.76123281, 4582869.24587798, 4582754.67749756, 
4582936.55863467, 4582836.39824407, 4582743.32074861, 4582754.07965598, 4582924.95040235, 4582909.37513334, 4582921.48106507, 4582929.21156008, 4582779.19763808, 4582780.30782448, 4582872.39618153, 4582795.85568686, 4582879.02466269, 4582854.93374314, 4582944.37882009, 4582804.33218247, 4582814.43725773, 4582840.90309312, 4582895.20438092, 4582866.23354013, 4582890.56797223, 4582905.85793564)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,28386.48,3,1368,758,1,2130,0.355868544600939,0,73,161,317,769,0,1320,0,0.055303030303030305,0.12196969696969696,0.24015151515151514,0.5825757575757575,0,1487,19.696969696969695,2024,1
02086,60.56161452582504,362.6936352944729,865.1791920745746,33,"c(428947.125181052, 429037.25181259, 429049.117506209, 429053.669038131, 429066.661575171, 429074.967350114, 429096.58415891, 429105.336136942, 429108.982028448, 429124.075305478, 429124.378632604, 429137.929628421, 429139.492417554, 429154.371237153, 429163.54891564, 429163.585828694, 429180.532958003, 429181.981847474, 429205.385417864, 429207.893457562, 429231.606380617, 4582812.58394495, 4582880.53860005, 4582811.5841859, 4582803.37894999, 4582724.80950944, 4582719.17671523, 4582706.75186855, 
4582832.12929334, 4582798.12864052, 4582781.98273045, 4582642.08288984, 4582700.82912735, 4582734.08930845, 4582716.62320714, 4582740.29371155, 4582744.06834527, 4582741.45999147, 4582613.42911439, 4582717.90091388, 4582717.87640226, 4582663.24037404)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,29678.41,2,1019,357,2,1380,0.25869565217391305,0,83,151,302,718,0,1254,0,0.06618819776714513,0.12041467304625199,0.24082934609250398,0.5725677830940988,0,1408,26.31578947368421,2024,1
02087,75.11957899722948,422.665109039003,980.4357965674334,20,"c(429220.899127948, 429224.962420453, 429235.132906043, 429240.130229681, 429243.28999136, 429288.249796671, 429295.249383356, 429297.536098357, 429305.809832176, 429313.975259256, 429325.35396821, 429332.290289842, 429335.536552595, 429344.514544738, 429358.956800344, 429360.627478424, 429377.971844103, 429381.735401972, 429381.792219698, 429392.647122052, 4582533.00113533, 4582582.25395993, 4582535.85320212, 4582594.31899445, 4582575.41316578, 4582641.59166423, 4582617.75198983, 4582479.39842019, 
4582470.43534101, 4582450.3704133, 4582454.05436992, 4582527.91213347, 4582527.97706133, 4582581.08688983, 4582518.76971101, 4582540.80936029, 4582410.8860498, 4582539.64315676, 4582459.70162325, 4582543.97795776)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,27611.14,1,706,106,0,813,0.13038130381303814,0,91,180,287,707,0,1265,0,0.07193675889328063,0.1422924901185771,0.22687747035573122,0.5588932806324111,0,1414,15.810276679841898,2024,1
02102,65.63801486829661,397.8227935822989,937.0445529083287,8,"c(429152.531911713, 429162.900870897, 429242.065726766, 429252.836852417, 429255.658174498, 429257.125539345, 429285.506416404, 429319.00506737, 4582443.06517193, 4582562.87532334, 4582364.46968075, 4582354.37186045, 4582472.03522473, 4582365.43289521, 4582446.20708971, 4582377.15313008)",2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,28632.31,0,840,107,0,947,0.11298838437170011,7,74,159,297,678,0,1215,0.005761316872427984,0.060905349794238686,0.1308641975308642,0.24444444444444444,0.5580246913580247,0,1369,6.584362139917695,2024,1
